procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 51598160 506600 5704956    0    0    15     7   80   31  2  1 96  0  0
 4  0      0 51533996 506616 5705832    0    0     0   132 7124 10753 39  8 53  0  0
 1  0      0 51491180 506616 5707104    0    0     0    12 3278 3197 25  4 71  0  0
 1  0      0 51469268 506616 5707120    0    0     0    28 2938 3028 13  2 85  0  0
 0  0      0 51468512 506624 5707432    0    0     0   412 2616 3038  4  2 94  0  0
 0  0      0 51468260 506624 5707436    0    0     0     0 2230 2714  1  1 97  0  0
 1  0      0 51458052 506632 5707456    0    0     0    36 4637 6864  4  4 92  0  0
 4  1      0 50471936 506632 5715056    0    0  7304    40 4898 6660 21 12 66  1  0
 5  0      0 49624796 506632 5717656    0    0  2048    20 7753 10628 46 10 44  0  0
 1  0      0 49549468 506644 5717924    0    0     0   144 5467 5703 44  6 51  0  0
 5  0      0 49539892 506644 5718064    0    0     0     0 4646 4678 51  4 46  0  0
 3  3      0 50946556 506652 5715676    0    0     0   824 7360 11589 54 10 34  2  0
 1  0      0 52076024 506756 5706576    0    0     0  1232 10613 17011 22 12 62  4  0
 1  0      0 52056368 506756 5706576    0    0     0     0 3873 4446 11  4 85  0  0
 1  0      0 52076852 506768 5706600    0    0     0   124 3416 3985 16  2 82  0  0
 0  0      0 52664472 506796 5702680    0    0     0   464 5553 8063  5  7 87  1  0
 1  0      0 52666056 506796 5702688    0    0     0    52 5117 7249  5  5 89  0  0
 1  0      0 52664832 506796 5702692    0    0     0     0 5044 7389  4  5 91  0  0
 0  0      0 52664832 506796 5702688    0    0     0    32 3116 3933  4  2 94  0  0
 1  0      0 52664832 506808 5702692    0    0     0   124 2822 3652  3  3 95  0  0
 0  0      0 52664832 506808 5702696    0    0     0     0 2711 3433  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 52664832 506816 5702700    0    0     0    40 3084 3999  4  2 94  0  0
