procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 51516988 510796 5715932    0    0    14     7   82   38  2  2 96  0  0
 3  0      0 51475708 510816 5717076    0    0     0   208 3740 4120 26  4 69  0  0
 2  0      0 51433280 510816 5717636    0    0     0   124 3228 3414 25  4 71  0  0
 3  0      0 51403300 510816 5718088    0    0     0    28 6508 9448 17  5 77  0  0
 6  0      0 49700388 510824 5718584    0    0     0   336 7513 10159 35 15 49  0  0
 3  0      0 49583468 510828 5718904    0    0     0   176 6623 7633 36  5 58  0  0
 4  0      0 49570620 510828 5719104    0    0     0     0 5456 5931 36  4 60  0  0
 4  0      0 49529648 510828 5719316    0    0     0     0 6297 6935 41  6 53  0  0
 4  0      0 50248708 510864 5716452    0    0     0  1116 9963 13078 39 10 48  3  0
 4  0      0 50606424 510864 5716352    0    0     0    40 8882 11963 34  8 58  0  0
 2  0      0 50605696 510900 5713712    0    0     0   444 6517 7793 30  5 64  1  0
 1  0      0 52443000 510900 5713572    0    0     0   288 8477 12933 32  9 59  0  0
 0  0      0 52877004 510984 5704068    0    0     0  1024 7727 11717  6  9 83  2  0
 0  0      0 52872960 510984 5704072    0    0     0    12 3195 4069  3  2 95  0  0
